# x80,y99,z0,u,v,p,T
-2.874512677432492121e-03,1.227469958079341252e-04,0.000000000000000000e+00,1.608277192658447802e+03,4.629808668511040670e-01,6.946465248083958599e+00,3.124370953204544321e+02
-1.936537404604233474e-03,1.227469958079341252e-04,0.000000000000000000e+00,1.593641710350668973e+03,1.612067766623752396e+00,7.566751702613204067e+00,3.389033470722959578e+02
-1.206027067510574095e-03,1.227469958079341252e-04,0.000000000000000000e+00,1.556077719308472069e+03,7.102303506844951819e+00,9.777681589924272387e+00,4.347801727443194295e+02
-6.370937831697178052e-04,1.227469958079341252e-04,0.000000000000000000e+00,1.407921803902418333e+03,1.818146794761199914e+01,1.400072908570010277e+01,5.848424598347213532e+02
-1.939993249603281882e-04,1.227469958079341252e-04,0.000000000000000000e+00,1.201031164889200909e+03,6.946283335194101483e+01,2.949411853939820816e+01,1.115353009659714417e+03
1.658262556641041123e-04,1.227469958079341252e-04,0.000000000000000000e+00,2.948695131330097752e+02,9.721432385904361695e+01,1.011885401233976864e+02,8.911322815650363509e+02
5.090866048887993794e-04,1.227469958079341252e-04,0.000000000000000000e+00,2.449351404317473282e+02,4.975277682723597650e+01,6.701452786327268996e+01,6.545204846235965306e+02
8.763751785592233806e-04,1.227469958079341252e-04,0.000000000000000000e+00,1.779110230356703539e+02,3.080196817388175035e+01,5.350441297091135340e+01,5.793771684076124302e+02
1.269373952386577444e-03,1.227469958079341252e-04,0.000000000000000000e+00,1.493368865743961464e+02,1.818911297092880019e+01,4.231181504653395109e+01,5.356093536052695754e+02
1.689882640381846265e-03,1.227469958079341252e-04,0.000000000000000000e+00,1.272637885398702764e+02,9.634234094418069105e+00,3.614839716148030391e+01,5.104605976589256215e+02
2.139826936536783943e-03,1.227469958079341252e-04,0.000000000000000000e+00,1.116927768721098886e+02,5.155143961090751681e+00,3.243857822198506113e+01,4.925163856790586010e+02
2.621267333422567375e-03,1.227469958079341252e-04,0.000000000000000000e+00,9.953514608102308614e+01,2.998175611665111262e+00,3.016661551374367889e+01,4.789247722678606465e+02
3.136408558090355431e-03,1.227469958079341252e-04,0.000000000000000000e+00,8.990753554206942511e+01,2.010994828522386424e+00,2.857420841745356199e+01,4.680240811456038728e+02
3.687609668484889084e-03,1.227469958079341252e-04,0.000000000000000000e+00,8.200256848374006324e+01,1.499309210057412800e+00,2.732169885291413181e+01,4.590519784464008808e+02
4.277394856607039976e-03,1.227469958079341252e-04,0.000000000000000000e+00,7.535016095040253958e+01,1.169660962421215311e+00,2.626478542826220419e+01,4.515126607393492577e+02
4.908465007897741365e-03,1.227469958079341252e-04,0.000000000000000000e+00,6.965196209742404676e+01,9.304492083685880210e-01,2.533706066717862981e+01,4.450602618342493884e+02
5.583710069778790794e-03,1.227469958079341252e-04,0.000000000000000000e+00,6.469235140146039953e+01,7.484943806369567243e-01,2.450820673057634025e+01,4.394594465995538144e+02
6.306222285991514541e-03,1.227469958079341252e-04,0.000000000000000000e+00,6.032048941251794361e+01,6.088650108665591976e-01,2.376042091543230228e+01,4.345428485067651536e+02
7.079310357339128890e-03,1.227469958079341252e-04,0.000000000000000000e+00,5.643007333620202814e+01,5.039078497979697646e-01,2.307442244162410105e+01,4.301827642830090213e+02
7.906514593681076425e-03,1.227469958079341252e-04,0.000000000000000000e+00,5.293372070253236217e+01,4.191579312411328195e-01,2.244420743145545671e+01,4.262867692078803543e+02
8.791623126566960184e-03,1.227469958079341252e-04,0.000000000000000000e+00,4.977863982450309521e+01,3.511648977703519803e-01,2.185529450447132049e+01,4.227728922532108413e+02
9.738689256754856985e-03,1.227469958079341252e-04,0.000000000000000000e+00,4.690568621998255594e+01,2.949520661871470883e-01,2.130662296238631725e+01,4.195884978457919487e+02
1.075205001605590571e-02,1.227469958079341252e-04,0.000000000000000000e+00,4.427968776432805242e+01,2.507213850830063429e-01,2.078950925922404380e+01,4.166862337918889239e+02
1.183634602850802860e-02,1.227469958079341252e-04,0.000000000000000000e+00,4.186493410374262680e+01,2.140610660667506548e-01,2.030182453018805688e+01,4.140303329558582845e+02
1.299654276183179885e-02,1.227469958079341252e-04,0.000000000000000000e+00,3.963831750984240898e+01,1.830178094648889364e-01,1.983918006153847813e+01,4.115880102509332801e+02
