# rhoA,rhoUA,rhoVA,rhoEA,LR
-2.416404093169329704e-06,6.845468587143488985e-10,-2.224729696786859341e-10,-5.123319766284876255e-13,1.215766545905693738e-05
-2.531086879312391835e-06,6.802163699700044821e-10,-2.198864830885847057e-10,-5.027305150409885906e-13,1.215766545905693738e-05
-2.638912722205985745e-06,6.758413839486992278e-10,-2.163338644113386418e-10,-4.933400156228717720e-13,1.215766545905693738e-05
-2.740706302423591080e-06,6.716315507537620919e-10,-2.120314490125517354e-10,-4.838921035902012201e-13,1.215766545905693738e-05
-2.836048522751682951e-06,6.677588623962602055e-10,-2.071519205188173480e-10,-4.746508992394369279e-13,1.215766545905693738e-05
-2.925247150639009812e-06,6.645975476957921458e-10,-2.017727644084282704e-10,-4.658579785013423797e-13,1.215766545905693738e-05
-3.006695085215590858e-06,6.622456547978493044e-10,-1.959382738521358009e-10,-4.575877059572238657e-13,1.215766545905693738e-05
-3.080263475853664932e-06,6.609146982243133972e-10,-1.896948133742230225e-10,-4.502023360883729431e-13,1.215766545905693738e-05
-3.144272514538040561e-06,6.609039750460620572e-10,-1.832904086648860679e-10,-4.436318301587656511e-13,1.215766545905693738e-05
-3.197483962886920934e-06,6.624070407150477380e-10,-1.767515568133327079e-10,-4.382425706333910246e-13,1.215766545905693738e-05
-3.236873774513128144e-06,6.656013832313817893e-10,-1.701851272062092966e-10,-4.341197709603952639e-13,1.215766545905693738e-05
-3.259922444883758187e-06,6.707145692766556199e-10,-1.637021306155270812e-10,-4.319071789220039300e-13,1.215766545905693738e-05
-3.263081834054705732e-06,6.778680587560460891e-10,-1.575261519701857995e-10,-4.314268406047014646e-13,1.215766545905693738e-05
-3.242135487912258647e-06,6.872876433787396123e-10,-1.519055056214991339e-10,-4.333642374372588815e-13,1.215766545905693738e-05
-3.191426208973913658e-06,6.990553791161539575e-10,-1.470426348198212631e-10,-4.379320788732196709e-13,1.215766545905693738e-05
-3.104249759660720473e-06,7.130936504333405780e-10,-1.432488213498304048e-10,-4.457668080530565853e-13,1.215766545905693738e-05
-2.973436524671132705e-06,7.291719630742084954e-10,-1.408534415896973425e-10,-4.570569108006417532e-13,1.215766545905693738e-05
-2.790303463920349744e-06,7.470367295441619081e-10,-1.403115924713958260e-10,-4.723187411764350590e-13,1.215766545905693738e-05
